time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-10T15:09:00Z,0.57,-196.0,-0.2463798043,0.0215269148,0.0338495997,165.7131105141,1027.7499766831,40.394122,197.7364,35.3385199203,11.958506,0.0011553656,0.7905,-0.0106,1.0088768096
2020-07-10T21:09:00Z,0.59,-411.0,-0.1639394132,0.0043280968,0.094994117,152.7503531431,1029.2654179239,36.6301591837,414.6320408163,35.151260799,8.0966040816,0.0018553718,0.7378,0.0212,0.5893855701
2020-07-11T03:09:00Z,0.73,-227.0,-0.3507116784,0.003079764,0.1253720186,141.1277182268,1028.0486511609,39.9157319149,228.7731914894,35.4017899034,11.3835382979,0.001403799,0.7378,0.0,-1.0885803379
2020-07-11T09:09:00Z,1.28,-413.0,-0.1083977734,0.0039342421,0.0702126877,160.4553850411,1029.3269457262,36.2020708333,416.53375,35.1304377445,7.6575083333,0.0023974501,1.0013,-0.0212,-0.0398515892
2020-07-11T15:09:00Z,1.32,-213.0,-0.2500812472,0.1154080577,0.1530294654,142.7431441021,1027.9550940938,40.1467142857,214.3681632653,35.4200509847,11.609822449,9.06888E-4,0.7378,0.0106,0.1698939306
2020-07-11T21:09:00Z,1.19,-413.0,-0.1902728571,0.0137175104,0.1001091904,160.3223786857,1029.3261598265,36.2218,416.66875,35.1324506394,7.6766375,0.0017876077,0.8432,0.0,-1.7178175472
2020-07-12T03:09:00Z,1.08,-220.0,-0.3012892558,-0.1903710684,0.060435362,138.3442633713,1027.9832646842,40.374526087,221.3530434783,35.4625574072,11.7968869565,9.746533E-4,0.7905,0.0212,0.7991312898
2020-07-12T09:09:00Z,1.17,-413.0,-0.1288214697,0.0093027919,0.0299181523,157.5743782612,1029.3013270974,36.41855,416.45875,35.1422504246,7.8781166667,0.0014713694,0.8959,0.0106,-0.4593431287
2020-07-12T15:09:00Z,1.31,-230.0,-0.1620091606,-0.0940880896,0.0716098824,131.7103540787,1028.0273509848,40.701932,232.2814,35.5236937917,12.064156,0.0014941692,0.8959,0.0106,-0.6690888484
2020-07-12T21:09:00Z,1.21,-411.0,-0.0651160561,8.41457E-4,0.0317151778,159.9755684738,1029.312210147,36.2389416667,414.44125,35.1315684756,7.6969958333,0.001222896,0.8959,0.0106,1.0088768096
2020-07-13T03:09:00Z,1.22,-201.0,-0.1721626851,-0.0477491579,-0.0174120467,135.8457398315,1027.8596162859,40.9784363636,202.2172727273,35.5494982668,12.3341363636,9.069061E-4,0.8959,0.0106,-0.6690888484
2020-07-13T09:09:00Z,1.04,-409.0,0.0189403457,0.0994001924,0.0730233566,164.7004946052,1029.3319506809,36.0102734694,412.8897959184,35.1197257597,7.4636183673,0.001403586,0.9486,0.0106,-1.0885803379
2020-07-13T15:09:00Z,1.14,-213.0,-0.2168366486,-0.1506611616,0.018205351,130.0647404558,1027.9476239452,40.810975,215.14375,35.5445133218,12.1619625,7.487819E-4,0.7378,0.0106,-0.2495974089
2020-07-13T21:09:00Z,0.81,-409.0,0.0409340936,-0.0923140947,-0.1967836599,159.3642460046,1029.298774736,36.2885083333,412.6516666667,35.1348781354,7.7477833333,0.0014487738,0.8959,-0.0106,-0.2495974089
2020-07-14T03:09:00Z,0.99,-239.0,-0.141308586,0.076905717,-0.2385919352,127.0544290092,1028.1642294992,39.6844071429,240.5521428571,35.4187739368,11.1208571429,8.616801E-4,0.7905,0.0,-0.2495974089
2020-07-14T09:09:00Z,0.79,-408.0,-0.0678026592,0.0527806808,-9.658649E-4,164.0397409574,1029.314086067,36.0852434783,411.0617391304,35.122880527,7.5420456522,0.0015842908,0.8959,0.0,-0.2495974089
